id,participant_id,item_id,difficulty,phase,answer,correct
51,3,mix_02,0.5,adaptive,9,0.0
1,1,add_sd_01,-2.0,practice,5,0.0
2,1,sub_sd_01,-1.7,practice,3,0.0
3,1,add_carry_01,0.1,adaptive,44,0.0
4,1,sub_td_03,-0.4,adaptive,7,0.0
8,1,add_td_02,-0.8,adaptive,21,0.0
5,1,sub_td_01,-0.7,adaptive,7,0.0
6,1,add_td_01,-0.9,adaptive,19,0.0
7,1,sub_sd_02,-1.6,adaptive,5,1.0
9,1,add_sd_03,-1.8,adaptive,8,1.0
10,1,sub_td_02,-0.6,adaptive,11,0.0
11,1,add_sd_02,-1.9,adaptive,8,0.0
12,1,add_sd_04,-2.1,adaptive,8,1.0
13,1,add_td_03,-0.3,adaptive,23,1.0
15,1,sub_borrow_01,0.2,adaptive,24,0.0
52,3,mix_01,0.6,adaptive,100,1.0
14,1,add_carry_03,0.2,adaptive,56,0.0
18,1,sub_borrow_02,0.4,adaptive,36,0.0
16,1,add_carry_02,0.3,adaptive,66,0.0
17,1,sub_borrow_03,0.3,adaptive,55,0.0
19,2,add_sd_01,-2.0,practice,7,1.0
20,2,sub_sd_01,-1.7,practice,5,1.0
22,2,sub_td_03,-0.4,adaptive,9,1.0
21,2,add_carry_01,0.1,adaptive,46,0.0
23,2,add_carry_03,0.2,adaptive,66,1.0
24,2,add_carry_02,0.3,adaptive,64,0.0
25,2,sub_borrow_01,0.2,adaptive,26,1.0
27,2,mix_02,0.5,adaptive,8,1.0
26,2,sub_borrow_03,0.3,adaptive,45,1.0
32,2,mul_sd_01,0.8,adaptive,42,1.0
28,2,mix_01,0.6,adaptive,90,0.0
29,2,sub_borrow_02,0.4,adaptive,26,0.0
30,2,div_02,0.8,adaptive,6,0.0
31,2,add_td_03,-0.3,adaptive,23,1.0
33,2,div_01,0.9,adaptive,6,0.0
34,2,mul_sd_02,0.9,adaptive,89,0.0
35,2,mul_td_01,1.0,adaptive,52,0.0
36,2,sub_td_02,-0.6,adaptive,13,1.0
37,3,add_sd_01,-2.0,practice,6,0.0
38,3,sub_sd_01,-1.7,practice,5,1.0
39,3,add_carry_01,0.1,adaptive,44,0.0
50,3,add_td_01,-0.9,adaptive,19,0.0
53,3,div_02,0.8,adaptive,9,0.0
54,3,mul_sd_01,0.8,adaptive,56,0.0
40,3,sub_td_03,-0.4,adaptive,9,1.0
41,3,add_carry_03,0.2,adaptive,56,0.0
46,3,add_carry_02,0.3,adaptive,66,0.0
42,3,add_td_03,-0.3,adaptive,22,0.0
43,3,sub_td_02,-0.6,adaptive,13,1.0
44,3,sub_td_01,-0.7,adaptive,9,1.0
45,3,sub_borrow_01,0.2,adaptive,26,1.0
47,3,sub_borrow_03,0.3,adaptive,55,0.0
48,3,add_td_02,-0.8,adaptive,19,1.0
49,3,sub_borrow_02,0.4,adaptive,36,0.0
