result_id,scenario_id,analysis_id,parameter_id,method,policy,max_items,stop_early,guessing,n_participants,metric,estimate,mc_se,decision_metric,decision_value,decision_threshold,meets_requirement,participant_payment,currency
max_information_m8_g0.00_fixed__rmse,max_information_m8_g0.00_fixed,ability,rmse,precision-estimation,max_information,8,False,0.0,40,rmse,0.6236754326070859,0.014373510987166835,rmse,0.6236754326070859,0.45,False,13.2,USD
max_information_m8_g0.00_fixed__mae,max_information_m8_g0.00_fixed,ability,mae,precision-estimation,max_information,8,False,0.0,40,mae,0.5019151813051118,0.011260902691702145,rmse,,0.45,False,13.2,USD
max_information_m8_g0.00_fixed__bias,max_information_m8_g0.00_fixed,ability,bias,precision-estimation,max_information,8,False,0.0,40,bias,0.0074232632816856855,0.030857144322357873,rmse,,0.45,False,13.2,USD
max_information_m8_g0.00_fixed__pearson_r,max_information_m8_g0.00_fixed,ability,pearson_r,precision-estimation,max_information,8,False,0.0,40,pearson_r,0.7845284326398579,0.013742117728252522,rmse,,0.45,False,13.2,USD
max_information_m8_g0.00_fixed__mean_posterior_sd,max_information_m8_g0.00_fixed,ability,mean_posterior_sd,precision-estimation,max_information,8,False,0.0,40,mean_posterior_sd,0.6037314413424586,0.00032734738775549695,rmse,,0.45,False,13.2,USD
max_information_m8_g0.00_fixed__coverage_95,max_information_m8_g0.00_fixed,ability,coverage_95,precision-estimation,max_information,8,False,0.0,40,coverage_95,0.9387500000000001,0.009154198059101797,rmse,,0.45,False,13.2,USD
max_information_m8_g0.00_fixed__mean_n_observations,max_information_m8_g0.00_fixed,ability,mean_n_observations,precision-estimation,max_information,8,False,0.0,40,mean_n_observations,8.0,0.0,rmse,,0.45,False,13.2,USD
max_information_m8_g0.00_fixed__mean_fit_seconds,max_information_m8_g0.00_fixed,ability,mean_fit_seconds,precision-estimation,max_information,8,False,0.0,40,mean_fit_seconds,2.7473408592655342e-05,5.203993460155274e-08,rmse,,0.45,False,13.2,USD
max_information_m8_g0.00_fixed__mean_select_seconds,max_information_m8_g0.00_fixed,ability,mean_select_seconds,precision-estimation,max_information,8,False,0.0,40,mean_select_seconds,0.0002650211631243593,2.7000585942035215e-07,rmse,,0.45,False,13.2,USD
max_information_m8_g0.25_fixed__rmse,max_information_m8_g0.25_fixed,ability,rmse,precision-estimation,max_information,8,False,0.25,40,rmse,0.8152971067805181,0.024026763945202857,rmse,0.8152971067805181,0.45,False,13.2,USD
max_information_m8_g0.25_fixed__mae,max_information_m8_g0.25_fixed,ability,mae,precision-estimation,max_information,8,False,0.25,40,mae,0.6532732056110794,0.018308028816826496,rmse,,0.45,False,13.2,USD
max_information_m8_g0.25_fixed__bias,max_information_m8_g0.25_fixed,ability,bias,precision-estimation,max_information,8,False,0.25,40,bias,0.416773985894331,0.023936560095538028,rmse,,0.45,False,13.2,USD
max_information_m8_g0.25_fixed__pearson_r,max_information_m8_g0.25_fixed,ability,pearson_r,precision-estimation,max_information,8,False,0.25,40,pearson_r,0.7043795690266454,0.016248853508490046,rmse,,0.45,False,13.2,USD
max_information_m8_g0.25_fixed__mean_posterior_sd,max_information_m8_g0.25_fixed,ability,mean_posterior_sd,precision-estimation,max_information,8,False,0.25,40,mean_posterior_sd,0.6042126171996183,0.000243708422759248,rmse,,0.45,False,13.2,USD
max_information_m8_g0.25_fixed__coverage_95,max_information_m8_g0.25_fixed,ability,coverage_95,precision-estimation,max_information,8,False,0.25,40,coverage_95,0.85,0.01450952500220023,rmse,,0.45,False,13.2,USD
max_information_m8_g0.25_fixed__mean_n_observations,max_information_m8_g0.25_fixed,ability,mean_n_observations,precision-estimation,max_information,8,False,0.25,40,mean_n_observations,8.0,0.0,rmse,,0.45,False,13.2,USD
max_information_m8_g0.25_fixed__mean_fit_seconds,max_information_m8_g0.25_fixed,ability,mean_fit_seconds,precision-estimation,max_information,8,False,0.25,40,mean_fit_seconds,2.71642564059249e-05,1.7193738316301846e-08,rmse,,0.45,False,13.2,USD
