decision_id,trial_id,participant_id,selected_candidate_id,study_fit_id,participant_history_count,candidate_pool_version,selected_utility,eligible_candidate_count,eligible_candidate_ids_sha256,excluded_candidate_ids,candidate_reconstruction,objective_components,optimizer_version,posterior_version,data_version,observation_fingerprint,scoring_seconds,posterior_predictive
1,1,1,item_002__item_003,1,0,feb667101ba568ca,1.960516286937217,500,9b4439d0db509973b1ffbcfd044e87fe87ce8efa3bd6f03634199bbfa5c125ea,[],All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 500}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.00034596699879330117,"[0.5, 0.5]"
2,2,1,item_086__item_096,1,1,feb667101ba568ca,1.960516286937217,499,40ef67976a42672ab12ddda9e5f0020ac70555e7cd1ebd287ab7a334f629d414,['item_002__item_003'],All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 499}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0003110819998255465,"[0.5, 0.5]"
3,3,1,item_009__item_084,1,2,feb667101ba568ca,1.960516286937217,498,e0ffb630f3b8ef7728c600a094472368c900b9a269cd78d728619f284eed591d,"['item_002__item_003', 'item_086__item_096']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 498}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0003088209996349178,"[0.5, 0.5]"
4,4,1,item_010__item_015,1,3,feb667101ba568ca,1.960516286937217,497,55b5c181449026c8ee15ff62629f2d6b40015f1774b47df5403b60b4acd89c58,"['item_002__item_003', 'item_009__item_084', 'item_086__item_096']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 497}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.00030679500014230143,"[0.5, 0.5]"
5,5,1,item_059__item_069,1,4,feb667101ba568ca,1.960516286937217,496,fd12e9291b2d73d4942ce1efb54a21cd6d4730928f02464399e6cd814761b4f9,"['item_002__item_003', 'item_009__item_084', 'item_010__item_015', 'item_086__item_096']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 496}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.00030904800041753333,"[0.5, 0.5]"
6,6,1,item_067__item_069,1,5,feb667101ba568ca,1.960516286937217,495,d9b68811b05387a3924301e9b6e0378856080450f7d017dca7a573e32a4e27b5,"['item_002__item_003', 'item_009__item_084', 'item_010__item_015', 'item_059__item_069', 'item_086__item_096']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 495}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0003207279987691436,"[0.5, 0.5]"
7,7,1,item_064__item_069,1,6,feb667101ba568ca,1.960516286937217,494,d3c2cb197a16731ffd48e92132a4766118962711205b4407ad66ee2639832e2d,"['item_002__item_003', 'item_009__item_084', 'item_010__item_015', 'item_059__item_069', 'item_067__item_069', 'item_086__item_096']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 494}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0003102930004388327,"[0.5, 0.5]"
8,8,1,item_009__item_099,1,7,feb667101ba568ca,1.960516286937217,493,7df0e3e6021b2128bd8a2218c87070c827d3f36d7d5f86e4f4503d07bde37c04,"['item_002__item_003', 'item_009__item_084', 'item_010__item_015', 'item_059__item_069', 'item_064__item_069', 'item_067__item_069', 'item_086__item_096']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 493}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0003046990004804684,"[0.5, 0.5]"
9,9,1,item_070__item_075,1,8,feb667101ba568ca,1.960516286937217,492,bc28e1adb23e0b89ab20deea8fba6c2d6f755e66d4cde1f60d23a2ae0e4a4232,"['item_002__item_003', 'item_009__item_084', 'item_009__item_099', 'item_010__item_015', 'item_059__item_069', 'item_064__item_069', 'item_067__item_069', 'item_086__item_096']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 492}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0003111590012849774,"[0.5, 0.5]"
10,10,1,item_005__item_030,1,9,feb667101ba568ca,1.960516286937217,491,bff3a7381c59b7c29a20256e7bd8e4b10eb230e7a22142718f7b09be02958ac8,"['item_002__item_003', 'item_009__item_084', 'item_009__item_099', 'item_010__item_015', 'item_059__item_069', 'item_064__item_069', 'item_067__item_069', 'item_070__item_075', 'item_086__item_096']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 491}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0003127069994661724,"[0.5, 0.5]"
