decision_id,trial_id,participant_id,selected_candidate_id,study_fit_id,participant_history_count,candidate_pool_version,selected_utility,eligible_candidate_count,eligible_candidate_ids_sha256,excluded_candidate_ids,candidate_reconstruction,objective_components,optimizer_version,posterior_version,data_version,observation_fingerprint,scoring_seconds,posterior_predictive
1,1,1,item_012__item_013,1,0,feb667101ba568ca,1.960516286937217,500,550115c103a832e279ac0bb79a0764f919e7af83e870445baa1ba15d01a5b896,[],All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 500}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.000696926000273379,"[0.5, 0.5]"
2,2,1,item_016__item_021,1,1,feb667101ba568ca,1.960516286937217,499,cd80b3cb2f7b6ea6c2c0160616fa633ef275ba7fb96222b830daf7b52cff8c39,['item_012__item_013'],All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 499}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0004310680001253786,"[0.5, 0.5]"
3,3,1,item_045__item_070,1,2,feb667101ba568ca,1.960516286937217,498,7a0bde0d250f1aa115d409b6f83481a76036dc2a8589d487b3cdbeec8a99a831,"['item_012__item_013', 'item_016__item_021']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 498}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0004187829999864334,"[0.5, 0.5]"
4,4,1,item_004__item_014,1,3,feb667101ba568ca,1.960516286937217,497,4ed523c232db7f43b677d4f6c31a459d3c688cb776a800cf9d3ee562b98c0ac2,"['item_012__item_013', 'item_016__item_021', 'item_045__item_070']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 497}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0004341290000411391,"[0.5, 0.5]"
5,5,1,item_059__item_060,1,4,feb667101ba568ca,1.960516286937217,496,6898d9c31480d7e096512d7ba7af5b6c526a581aa8d146c84a269f3d2e9f15b2,"['item_004__item_014', 'item_012__item_013', 'item_016__item_021', 'item_045__item_070']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 496}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.00042307700005039806,"[0.5, 0.5]"
6,6,1,item_040__item_042,1,5,feb667101ba568ca,1.960516286937217,495,cba36cb45108c9c387af8995b94e076e39322c213c217b0dbff6b6538bc694a8,"['item_004__item_014', 'item_012__item_013', 'item_016__item_021', 'item_045__item_070', 'item_059__item_060']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 495}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.00042904800011456246,"[0.5, 0.5]"
7,7,1,item_021__item_046,1,6,feb667101ba568ca,1.960516286937217,494,995a47cf419a2b24da81e787c5b0ff5d7890cfabac2e2089053b2a405fade103,"['item_004__item_014', 'item_012__item_013', 'item_016__item_021', 'item_040__item_042', 'item_045__item_070', 'item_059__item_060']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 494}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0004190750000816479,"[0.5, 0.5]"
8,8,1,item_007__item_082,2,7,feb667101ba568ca,1.960516286937217,493,d6ba2803991d741087fcb16266bfd7d5440a712cdbaa50f15e1e48f1809a66b8,"['item_004__item_014', 'item_012__item_013', 'item_016__item_021', 'item_021__item_046', 'item_040__item_042', 'item_045__item_070', 'item_059__item_060']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 493}",predictive-entropy-v1,bradley-terry-bootstrap-v1,6,93c69ba5671e377916a7a5738e71afa07a65067fece97dc42372e610594669de,0.00042403399993418134,"[0.5, 0.5]"
9,9,1,item_063__item_073,2,8,feb667101ba568ca,1.960516286937217,492,bed468c94692a01aa465a541c13e6c56f3e2c5396e2a0919010635d0a92870c4,"['item_004__item_014', 'item_007__item_082', 'item_012__item_013', 'item_016__item_021', 'item_021__item_046', 'item_040__item_042', 'item_045__item_070', 'item_059__item_060']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 492}",predictive-entropy-v1,bradley-terry-bootstrap-v1,6,93c69ba5671e377916a7a5738e71afa07a65067fece97dc42372e610594669de,0.0004456209999261773,"[0.5, 0.5]"
10,10,1,item_051__item_052,2,9,feb667101ba568ca,1.960516286937217,491,89f8153fb245fb97437e5d143119609479c57c7d20c05962e1e1cf2433505b84,"['item_004__item_014', 'item_007__item_082', 'item_012__item_013', 'item_016__item_021', 'item_021__item_046', 'item_040__item_042', 'item_045__item_070', 'item_059__item_060', 'item_063__item_073']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 491}",predictive-entropy-v1,bradley-terry-bootstrap-v1,6,93c69ba5671e377916a7a5738e71afa07a65067fece97dc42372e610594669de,0.0004362140002740489,"[0.5, 0.5]"
11,11,1,item_001__item_003,2,10,feb667101ba568ca,1.960516286937217,490,5fb4d7fc6ab708d658a213d8a7c2f4af0465ab2e32dcdda219839558566ec4a2,"['item_004__item_014', 'item_007__item_082', 'item_012__item_013', 'item_016__item_021', 'item_021__item_046', 'item_040__item_042', 'item_045__item_070', 'item_051__item_052', 'item_059__item_060', 'item_063__item_073']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 490}",predictive-entropy-v1,bradley-terry-bootstrap-v1,6,93c69ba5671e377916a7a5738e71afa07a65067fece97dc42372e610594669de,0.00042629900008250843,"[0.5, 0.5]"
12,12,1,item_044__item_046,2,11,feb667101ba568ca,1.960516286937217,489,4247b0a277c7b6d4cff4ce9dc39abdd079e7cbb23d7f082a5c26ce0ae1597aa4,"['item_001__item_003', 'item_004__item_014', 'item_007__item_082', 'item_012__item_013', 'item_016__item_021', 'item_021__item_046', 'item_040__item_042', 'item_045__item_070', 'item_051__item_052', 'item_059__item_060', 'item_063__item_073']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 489}",predictive-entropy-v1,bradley-terry-bootstrap-v1,6,93c69ba5671e377916a7a5738e71afa07a65067fece97dc42372e610594669de,0.0004339629999776662,"[0.5, 0.5]"
13,13,1,item_072__item_074,2,12,feb667101ba568ca,1.960516286937217,488,061fc5614f8cb7255ede1c78faba4b2c44221c40e589ce8f15d92b5de084141e,"['item_001__item_003', 'item_004__item_014', 'item_007__item_082', 'item_012__item_013', 'item_016__item_021', 'item_021__item_046', 'item_040__item_042', 'item_044__item_046', 'item_045__item_070', 'item_051__item_052', 'item_059__item_060', 'item_063__item_073']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 488}",predictive-entropy-v1,bradley-terry-bootstrap-v1,6,93c69ba5671e377916a7a5738e71afa07a65067fece97dc42372e610594669de,0.0004217810001136968,"[0.5, 0.5]"
14,14,1,item_009__item_084,2,13,feb667101ba568ca,1.960516286937217,487,1ea2468719ced679cb01f39d22d089937830d3988626d007c2a82eef4a371fa9,"['item_001__item_003', 'item_004__item_014', 'item_007__item_082', 'item_012__item_013', 'item_016__item_021', 'item_021__item_046', 'item_040__item_042', 'item_044__item_046', 'item_045__item_070', 'item_051__item_052', 'item_059__item_060', 'item_063__item_073', 'item_072__item_074']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 487}",predictive-entropy-v1,bradley-terry-bootstrap-v1,6,93c69ba5671e377916a7a5738e71afa07a65067fece97dc42372e610594669de,0.0004248270001880883,"[0.5, 0.5]"
15,15,1,item_015__item_020,2,14,feb667101ba568ca,1.960516286937217,486,b831aa7c73ca7d6d462967c2de0526e67eada2764f91968a7bac6ef3af63a92e,"['item_001__item_003', 'item_004__item_014', 'item_007__item_082', 'item_009__item_084', 'item_012__item_013', 'item_016__item_021', 'item_021__item_046', 'item_040__item_042', 'item_044__item_046', 'item_045__item_070', 'item_051__item_052', 'item_059__item_060', 'item_063__item_073', 'item_072__item_074']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 486}",predictive-entropy-v1,bradley-terry-bootstrap-v1,6,93c69ba5671e377916a7a5738e71afa07a65067fece97dc42372e610594669de,0.00042116599979635794,"[0.5, 0.5]"
16,16,1,item_006__item_011,3,15,feb667101ba568ca,1.960516286937217,485,bdc4587d8dbd441a304b67baa1f17b1a76dca13ee4364f66f230ff5f5b921268,"['item_001__item_003', 'item_004__item_014', 'item_007__item_082', 'item_009__item_084', 'item_012__item_013', 'item_015__item_020', 'item_016__item_021', 'item_021__item_046', 'item_040__item_042', 'item_044__item_046', 'item_045__item_070', 'item_051__item_052', 'item_059__item_060', 'item_063__item_073', 'item_072__item_074']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 485}",predictive-entropy-v1,bradley-terry-bootstrap-v1,11,29307d08264fa47eb85a72a115ee234c288e2d3a49a9fc393c010262c33bf98f,0.00042691299995567533,"[0.5, 0.5]"
17,17,1,item_039__item_049,3,16,feb667101ba568ca,1.960516286937217,484,0a898a94ea2fc068346d918eeef6b9e3231846a0d43450c37312698f93393497,"['item_001__item_003', 'item_004__item_014', 'item_006__item_011', 'item_007__item_082', 'item_009__item_084', 'item_012__item_013', 'item_015__item_020', 'item_016__item_021', 'item_021__item_046', 'item_040__item_042', 'item_044__item_046', 'item_045__item_070', 'item_051__item_052', 'item_059__item_060', 'item_063__item_073', 'item_072__item_074']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 484}",predictive-entropy-v1,bradley-terry-bootstrap-v1,11,29307d08264fa47eb85a72a115ee234c288e2d3a49a9fc393c010262c33bf98f,0.00042991299960704055,"[0.5, 0.5]"
18,18,1,item_018__item_093,3,17,feb667101ba568ca,1.960516286937217,483,f86d53c93ce20877d51e686a28551eb072618a0cacb7a15947e147bf743e2e8f,"['item_001__item_003', 'item_004__item_014', 'item_006__item_011', 'item_007__item_082', 'item_009__item_084', 'item_012__item_013', 'item_015__item_020', 'item_016__item_021', 'item_021__item_046', 'item_039__item_049', 'item_040__item_042', 'item_044__item_046', 'item_045__item_070', 'item_051__item_052', 'item_059__item_060', 'item_063__item_073', 'item_072__item_074']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 483}",predictive-entropy-v1,bradley-terry-bootstrap-v1,11,29307d08264fa47eb85a72a115ee234c288e2d3a49a9fc393c010262c33bf98f,0.00043274700010442757,"[0.5, 0.5]"
19,19,1,item_033__item_034,4,18,feb667101ba568ca,1.960516286937217,482,3ae6fc12f1d9364d8e98ddaf2bd7980b78a361e9f7dda7f1a1e3f8722ce1f4ac,"['item_001__item_003', 'item_004__item_014', 'item_006__item_011', 'item_007__item_082', 'item_009__item_084', 'item_012__item_013', 'item_015__item_020', 'item_016__item_021', 'item_018__item_093', 'item_021__item_046', 'item_039__item_049', 'item_040__item_042', 'item_044__item_046', 'item_045__item_070', 'item_051__item_052', 'item_059__item_060', 'item_063__item_073', 'item_072__item_074']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 482}",predictive-entropy-v1,bradley-terry-bootstrap-v1,16,048bb5256c0f06e23ae71f17d050ba2af358d8fe7925d8d74e687f32c872a52d,0.0004384060002848855,"[0.5, 0.5]"
