study_fit_id,status,model_version,data_version,observation_count,observation_fingerprint,diagnostics,random_seed,error
1,ready,bradley-terry-bootstrap-v1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,"{'data_loading_seconds': 0.0, 'fit_seconds': 0.0, 'bootstrap_replicates': 0}",20260830,
2,ready,bradley-terry-bootstrap-v1,6,6,93c69ba5671e377916a7a5738e71afa07a65067fece97dc42372e610594669de,"{'fit_seconds': 0.7795150520000789, 'bootstrap_replicates': 2048, 'n_observations': 6, 'optimizer_success': True, 'data_loading_seconds': 0.0009012870000333351}",20260836,
3,ready,bradley-terry-bootstrap-v1,11,11,29307d08264fa47eb85a72a115ee234c288e2d3a49a9fc393c010262c33bf98f,"{'fit_seconds': 3.626641149000079, 'bootstrap_replicates': 2048, 'n_observations': 11, 'optimizer_success': True, 'data_loading_seconds': 0.0014978930003053392}",20260841,
4,ready,bradley-terry-bootstrap-v1,16,16,048bb5256c0f06e23ae71f17d050ba2af358d8fe7925d8d74e687f32c872a52d,"{'fit_seconds': 1.5751974919999157, 'bootstrap_replicates': 2048, 'n_observations': 16, 'optimizer_success': True, 'data_loading_seconds': 0.0014264179999372573}",20260846,
5,ready,bradley-terry-bootstrap-v1,22,22,3deaedaf2fa9d19b5467a331a79ca85f31218e3d232e46f97fc5df7f9439728e,"{'fit_seconds': 0.937088704999951, 'bootstrap_replicates': 2048, 'n_observations': 22, 'optimizer_success': True, 'data_loading_seconds': 0.0015177159998529532}",20260852,
6,ready,bradley-terry-bootstrap-v1,27,27,33be2c12a5c413aac165e55d61000a87fa2ee765e55269de39fd005cf3b6eb7b,"{'fit_seconds': 1.649265509000088, 'bootstrap_replicates': 2048, 'n_observations': 27, 'optimizer_success': True, 'data_loading_seconds': 0.0017585540003892675}",20260857,
7,ready,bradley-terry-bootstrap-v1,32,32,4c43b48b74421a04ff1596df7c90a656a9363dbd33d29804946c9e57bd6a4b94,"{'fit_seconds': 1.5205302590002248, 'bootstrap_replicates': 2048, 'n_observations': 32, 'optimizer_success': True, 'data_loading_seconds': 0.001787370000329247}",20260862,
8,ready,bradley-terry-bootstrap-v1,37,37,8637f261dc591294f7e7974c85452f1d86a309b34bdc58685504076458a54409,"{'fit_seconds': 1.1708241559999806, 'bootstrap_replicates': 2048, 'n_observations': 37, 'optimizer_success': True, 'data_loading_seconds': 0.0018661839999367658}",20260867,
9,ready,bradley-terry-bootstrap-v1,43,43,7dbdc23ece5e22d095ea70ff6d346d30b1f75164e3ec61607b4f079c8aeec82d,"{'fit_seconds': 2.839563503000136, 'bootstrap_replicates': 2048, 'n_observations': 43, 'optimizer_success': True, 'data_loading_seconds': 0.0022057610003685113}",20260873,
10,ready,bradley-terry-bootstrap-v1,48,48,92dda9b67c366dd47fca5a5c2ecdf8c53b21c4e801535f1038fa3b5557c10467,"{'fit_seconds': 1.3174355830001332, 'bootstrap_replicates': 2048, 'n_observations': 48, 'optimizer_success': True, 'data_loading_seconds': 0.00233145299989701}",20260878,
11,ready,bradley-terry-bootstrap-v1,53,53,1d1f6a5ee6e5ed7430493c837d149e440b3f2d7cb38db5a987b54307394930e4,"{'fit_seconds': 3.0246614959996805, 'bootstrap_replicates': 2048, 'n_observations': 53, 'optimizer_success': True, 'data_loading_seconds': 0.0023724460002085834}",20260883,
12,ready,bradley-terry-bootstrap-v1,58,58,c35caad7d3c10b0f25fed8968fb4804f0e626b14427acadf20134d545dcd838f,"{'fit_seconds': 1.4457979560002059, 'bootstrap_replicates': 2048, 'n_observations': 58, 'optimizer_success': True, 'data_loading_seconds': 0.0028102639998905943}",20260888,
13,ready,bradley-terry-bootstrap-v1,64,64,4a1f2cf31676feb27a2ca531c70ddd37d83dd33f2b6493f9ea4bf5497dbc7b9c,"{'fit_seconds': 1.4099564819998704, 'bootstrap_replicates': 2048, 'n_observations': 64, 'optimizer_success': True, 'data_loading_seconds': 0.0024646100000609295}",20260894,
14,ready,bradley-terry-bootstrap-v1,69,69,02b1bc6779992559b4c7411dc9d8bcfe05901b2f2127a3c9f74ce5fbe348cb64,"{'fit_seconds': 2.3107946560003256, 'bootstrap_replicates': 2048, 'n_observations': 69, 'optimizer_success': True, 'data_loading_seconds': 0.0029213650000201596}",20260899,
15,ready,bradley-terry-bootstrap-v1,74,74,7a81ece32bd1fd2eae4fabce8ece6ddd1baa0132d76a5ebe67d40de468fafec0,"{'fit_seconds': 4.465447310999934, 'bootstrap_replicates': 2048, 'n_observations': 74, 'optimizer_success': True, 'data_loading_seconds': 0.0027441380002528604}",20260904,
