trial_id,participant_id,pair_id,item_a_id,item_b_id,left_item_id,right_item_id,raw_answer,chosen_left,study_fit_id
1,1,item_002__item_003,item_002,item_003,item_002,item_003,Second sound,False,1
2,1,item_086__item_096,item_086,item_096,item_096,item_086,Second sound,False,1
4,1,item_010__item_015,item_010,item_015,item_010,item_015,Second sound,False,1
3,1,item_009__item_084,item_009,item_084,item_084,item_009,First sound,True,1
5,1,item_059__item_069,item_059,item_069,item_059,item_069,First sound,True,1
8,1,item_009__item_099,item_009,item_099,item_009,item_099,Second sound,False,1
6,1,item_067__item_069,item_067,item_069,item_069,item_067,First sound,True,1
7,1,item_064__item_069,item_064,item_069,item_069,item_064,Second sound,False,1
9,1,item_070__item_075,item_070,item_075,item_075,item_070,First sound,True,1
10,1,item_005__item_030,item_005,item_030,item_005,item_030,First sound,True,1
11,1,item_054__item_064,item_054,item_064,item_064,item_054,First sound,True,1
12,1,item_060__item_065,item_060,item_065,item_060,item_065,First sound,True,1
14,1,item_001__item_091,item_001,item_091,item_091,item_001,First sound,True,1
13,1,item_022__item_027,item_022,item_027,item_022,item_027,First sound,True,1
15,1,item_064__item_065,item_064,item_065,item_064,item_065,First sound,True,1
16,1,item_006__item_031,item_006,item_031,item_006,item_031,First sound,True,1
19,1,item_059__item_064,item_059,item_064,item_059,item_064,Second sound,False,1
17,1,item_055__item_057,item_055,item_057,item_057,item_055,Second sound,False,1
18,1,item_044__item_054,item_044,item_054,item_054,item_044,First sound,True,1
20,1,item_085__item_090,item_085,item_090,item_085,item_090,First sound,True,1
21,2,item_082__item_084,item_082,item_084,item_084,item_082,First sound,True,1
22,2,item_070__item_071,item_070,item_071,item_070,item_071,First sound,True,1
23,2,item_036__item_038,item_036,item_038,item_038,item_036,Second sound,False,1
25,2,item_017__item_092,item_017,item_092,item_092,item_017,First sound,True,1
24,2,item_074__item_099,item_074,item_099,item_099,item_074,First sound,True,1
26,2,item_077__item_087,item_077,item_087,item_087,item_077,First sound,True,1
27,2,item_013__item_018,item_013,item_018,item_018,item_013,First sound,True,1
30,2,item_056__item_058,item_056,item_058,item_058,item_056,First sound,True,1
28,2,item_066__item_076,item_066,item_076,item_076,item_066,First sound,True,1
29,2,item_053__item_058,item_053,item_058,item_058,item_053,First sound,True,1
31,2,item_049__item_050,item_049,item_050,item_050,item_049,Second sound,False,1
32,2,item_017__item_042,item_017,item_042,item_042,item_017,First sound,True,1
33,2,item_083__item_088,item_083,item_088,item_088,item_083,Second sound,False,1
34,2,item_094__item_096,item_094,item_096,item_094,item_096,First sound,True,1
36,2,item_094__item_099,item_094,item_099,item_099,item_094,Second sound,False,1
35,2,item_031__item_033,item_031,item_033,item_033,item_031,Second sound,False,1
40,2,item_068__item_069,item_068,item_069,item_069,item_068,Second sound,False,1
37,2,item_089__item_091,item_089,item_091,item_089,item_091,Second sound,False,1
38,2,item_007__item_017,item_007,item_017,item_007,item_017,Second sound,False,1
39,2,item_070__item_075,item_070,item_075,item_070,item_075,Second sound,False,1
