item_id,label,hue,simulation_rank
item_001,Abstract item 001,0,1
item_002,Abstract item 002,4,2
item_003,Abstract item 003,7,3
item_004,Abstract item 004,11,4
item_005,Abstract item 005,14,5
item_006,Abstract item 006,18,6
item_007,Abstract item 007,22,7
item_008,Abstract item 008,25,8
item_009,Abstract item 009,29,9
item_010,Abstract item 010,32,10
item_011,Abstract item 011,36,11
item_012,Abstract item 012,40,12
item_013,Abstract item 013,43,13
item_014,Abstract item 014,47,14
item_015,Abstract item 015,50,15
item_016,Abstract item 016,54,16
item_017,Abstract item 017,58,17
item_018,Abstract item 018,61,18
item_019,Abstract item 019,65,19
item_020,Abstract item 020,68,20
item_021,Abstract item 021,72,21
item_022,Abstract item 022,76,22
item_023,Abstract item 023,79,23
item_024,Abstract item 024,83,24
item_025,Abstract item 025,86,25
item_026,Abstract item 026,90,26
item_027,Abstract item 027,94,27
item_028,Abstract item 028,97,28
item_029,Abstract item 029,101,29
item_030,Abstract item 030,104,30
item_031,Abstract item 031,108,31
item_032,Abstract item 032,112,32
item_033,Abstract item 033,115,33
item_034,Abstract item 034,119,34
item_035,Abstract item 035,122,35
item_036,Abstract item 036,126,36
item_037,Abstract item 037,130,37
item_038,Abstract item 038,133,38
item_039,Abstract item 039,137,39
item_040,Abstract item 040,140,40
item_041,Abstract item 041,144,41
item_042,Abstract item 042,148,42
item_043,Abstract item 043,151,43
item_044,Abstract item 044,155,44
item_045,Abstract item 045,158,45
item_046,Abstract item 046,162,46
item_047,Abstract item 047,166,47
item_048,Abstract item 048,169,48
item_049,Abstract item 049,173,49
item_050,Abstract item 050,176,50
item_051,Abstract item 051,180,51
item_052,Abstract item 052,184,52
item_053,Abstract item 053,187,53
item_054,Abstract item 054,191,54
item_055,Abstract item 055,194,55
item_056,Abstract item 056,198,56
item_057,Abstract item 057,202,57
item_058,Abstract item 058,205,58
item_059,Abstract item 059,209,59
item_060,Abstract item 060,212,60
item_061,Abstract item 061,216,61
item_062,Abstract item 062,220,62
item_063,Abstract item 063,223,63
item_064,Abstract item 064,227,64
item_065,Abstract item 065,230,65
item_066,Abstract item 066,234,66
item_067,Abstract item 067,238,67
item_068,Abstract item 068,241,68
item_069,Abstract item 069,245,69
item_070,Abstract item 070,248,70
item_071,Abstract item 071,252,71
item_072,Abstract item 072,256,72
item_073,Abstract item 073,259,73
item_074,Abstract item 074,263,74
item_075,Abstract item 075,266,75
item_076,Abstract item 076,270,76
item_077,Abstract item 077,274,77
item_078,Abstract item 078,277,78
item_079,Abstract item 079,281,79
item_080,Abstract item 080,284,80
item_081,Abstract item 081,288,81
item_082,Abstract item 082,292,82
item_083,Abstract item 083,295,83
item_084,Abstract item 084,299,84
item_085,Abstract item 085,302,85
item_086,Abstract item 086,306,86
item_087,Abstract item 087,310,87
item_088,Abstract item 088,313,88
item_089,Abstract item 089,317,89
item_090,Abstract item 090,320,90
item_091,Abstract item 091,324,91
item_092,Abstract item 092,328,92
item_093,Abstract item 093,331,93
item_094,Abstract item 094,335,94
item_095,Abstract item 095,338,95
item_096,Abstract item 096,342,96
item_097,Abstract item 097,346,97
item_098,Abstract item 098,349,98
item_099,Abstract item 099,353,99
item_100,Abstract item 100,356,100
