"active_index","reverse_scale","network_id","type","id","p1","p2","p3","p4","p5","initialized","changed","changed_row"
1,FALSE,3,"criticsm_trial",8,426.37871122746,288.486921972438,99.5028675158698,-156.863929284823,-8.08665363585476,288.486921972438,-418.541854185419,"p2"
2,FALSE,3,"criticsm_trial",11,426.37871122746,-418.541854185419,84.6024020437034,-156.863929284823,-8.08665363585476,84.6024020437034,-257.125712571257,"p3"
3,FALSE,3,"criticsm_trial",14,426.37871122746,-418.541854185419,-257.125712571257,175.834451581803,-8.08665363585476,175.834451581803,-569.75697569757,"p4"
4,FALSE,3,"criticsm_trial",17,426.37871122746,-418.541854185419,-257.125712571257,-569.75697569757,-202.546123670179,-202.546123670179,-117.069874975859,"p5"
0,FALSE,3,"criticsm_trial",20,-117.069874975859,-418.541854185419,-257.125712571257,-569.75697569757,-529.432943294329,-529.432943294329,-549.59495949595,"p1"
1,FALSE,3,"criticsm_trial",23,-549.59495949595,-584.308160904055,-257.125712571257,-569.75697569757,-529.432943294329,-584.308160904055,-499.189918991899,"p2"
2,FALSE,3,"criticsm_trial",26,-549.59495949595,-499.189918991899,-342.601556209592,-569.75697569757,-529.432943294329,-342.601556209592,196.639663966397,"p3"
3,FALSE,3,"criticsm_trial",31,-549.59495949595,-499.189918991899,196.639663966397,-227.863700236169,-529.432943294329,-227.863700236169,-569.75697569757,"p4"
4,FALSE,3,"criticsm_trial",34,-549.59495949595,-499.189918991899,196.639663966397,-569.75697569757,154.79923361401,154.79923361401,389.721578325049,"p5"
0,FALSE,3,"criticsm_trial",37,389.721578325049,-499.189918991899,196.639663966397,-569.75697569757,55.5055505550555,55.5055505550555,0,"p1"
4,FALSE,4,"criticsm_trial",9,350.585341834828,-30.3207188991771,-77.0879872892552,-103.580302593256,-81.6849002068703,-81.6849002068703,-427.109102232482,"p5"
0,FALSE,4,"criticsm_trial",12,-427.109102232482,-30.3207188991771,-77.0879872892552,-103.580302593256,-458.865886588659,-458.865886588659,-579.83798379838,"p1"
1,FALSE,4,"criticsm_trial",15,-579.83798379838,295.725512361571,-77.0879872892552,-103.580302593256,-458.865886588659,295.725512361571,-549.59495949595,"p2"
2,FALSE,4,"criticsm_trial",18,-579.83798379838,-549.59495949595,-387.979144288528,-103.580302593256,-458.865886588659,-387.979144288528,-509.270927092709,"p3"
3,FALSE,4,"criticsm_trial",21,-579.83798379838,-549.59495949595,-509.270927092709,-300.700819126452,-458.865886588659,-300.700819126452,186.558655865587,"p4"
4,FALSE,4,"criticsm_trial",24,-579.83798379838,-549.59495949595,-509.270927092709,186.558655865587,-273.217639725552,-273.217639725552,-349.49162163898,"p5"
0,FALSE,4,"criticsm_trial",27,-349.49162163898,-549.59495949595,-509.270927092709,186.558655865587,-247.044704470447,-247.044704470447,-569.75697569757,"p1"
1,FALSE,4,"criticsm_trial",29,-569.75697569757,218.15305279347,-509.270927092709,186.558655865587,-247.044704470447,218.15305279347,-569.75697569757,"p2"
2,FALSE,4,"criticsm_trial",32,-569.75697569757,-569.75697569757,-422.535810002193,186.558655865587,-247.044704470447,-422.535810002193,-519.351935193519,"p3"
3,FALSE,4,"criticsm_trial",35,-569.75697569757,-569.75697569757,-519.351935193519,127.710852064492,-247.044704470447,127.710852064492,0,"p4"
1,FALSE,5,"criticsm_trial",10,146.280263303569,-516.922055013662,-162.694387758109,-486.37351616188,-455.981381313374,-516.922055013662,-509.270927092709,"p2"
2,FALSE,5,"criticsm_trial",13,146.280263303569,-509.270927092709,-191.941418065043,-486.37351616188,-455.981381313374,-191.941418065043,-307.530753075308,"p3"
3,FALSE,5,"criticsm_trial",16,146.280263303569,-509.270927092709,-307.530753075308,-220.985085785207,-455.981381313374,-220.985085785207,-539.51395139514,"p4"
4,FALSE,5,"criticsm_trial",19,146.280263303569,-509.270927092709,-307.530753075308,-539.51395139514,-38.5894517016851,-38.5894517016851,237.663737653648,"p5"
0,FALSE,5,"criticsm_trial",22,237.663737653648,-509.270927092709,-307.530753075308,-539.51395139514,-458.865886588659,-458.865886588659,438.703870387039,"p1"
1,FALSE,5,"criticsm_trial",25,438.703870387039,23.4438545199257,-307.530753075308,-539.51395139514,-458.865886588659,23.4438545199257,-95.8295829582958,"p2"
