id;time;property1;property2;property3;property4;property5;failed;time_of_death;details;type;orgin_id;network_id;contents
1;2020-05-04 05:40:38.632409;1;TRUE;"""2""";FALSE;2;FALSE;;"{""response_id"": 3, ""propagate_failure"": false}";headphone_trial;3;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_ISO.wav"", ""label"": ""ISO"", ""correct_answer"": ""2""}"
2;2020-05-04 05:40:44.19531;1;TRUE;"""1""";FALSE;6;FALSE;;"{""response_id"": 4, ""propagate_failure"": false}";headphone_trial;7;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_SOI.wav"", ""label"": ""SOI"", ""correct_answer"": ""1""}"
3;2020-05-04 05:40:49.538722;1;TRUE;"""3""";FALSE;12;FALSE;;"{""response_id"": 5, ""propagate_failure"": false}";headphone_trial;13;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_OIS.wav"", ""label"": ""OIS"", ""correct_answer"": ""3""}"
4;2020-05-04 05:40:54.987882;1;TRUE;"""1""";FALSE;8;FALSE;;"{""response_id"": 6, ""propagate_failure"": false}";headphone_trial;9;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_SIO.wav"", ""label"": ""SIO"", ""correct_answer"": ""1""}"
5;2020-05-04 05:41:00.205605;1;TRUE;"""2""";FALSE;10;FALSE;;"{""response_id"": 7, ""propagate_failure"": false}";headphone_trial;11;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_OSI.wav"", ""label"": ""OSI"", ""correct_answer"": ""2""}"
6;2020-05-04 05:41:05.48562;1;TRUE;"""3""";FALSE;4;FALSE;;"{""response_id"": 8, ""propagate_failure"": false}";headphone_trial;5;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_IOS.wav"", ""label"": ""IOS"", ""correct_answer"": ""3""}"
7;2020-05-04 05:42:06.531038;1;TRUE;-57.983.798.379.838;FALSE;;FALSE;;"{""response_id"": 17, ""propagate_failure"": false}";criticsm_trial;15;2;"{""vector"": [409.3769288114329, 353.2561759223054, -463.3460088816372, 74.92725114788902, -75.55213568049976], ""active_index"": 3, ""reverse_scale"": false}"
8;2020-05-04 05:43:08.806607;1;TRUE;-418.541.854.185.419;FALSE;;FALSE;;"{""response_id"": 22, ""propagate_failure"": false}";criticsm_trial;18;3;"{""vector"": [426.37871122746014, 288.4869219724376, 99.50286751586975, -156.86392928482343, -8.08665363585476], ""active_index"": 1, ""reverse_scale"": false}"
9;2020-05-04 05:43:29.555077;1;TRUE;-458.865.886.588.659;FALSE;;FALSE;;"{""response_id"": 23, ""propagate_failure"": false}";criticsm_trial;20;4;"{""vector"": [350.5853418348281, -30.32071889917711, -77.08798728925524, -103.58030259325585, -81.68490020687034], ""active_index"": 4, ""reverse_scale"": false}"
10;2020-05-04 05:43:41.921914;1;TRUE;-509.270.927.092.709;FALSE;;FALSE;;"{""response_id"": 24, ""propagate_failure"": false}";criticsm_trial;22;5;"{""vector"": [146.28026330356852, -516.9220550136621, -162.69438775810886, -486.3735161618801, -455.98138131337384], ""active_index"": 1, ""reverse_scale"": false}"
11;2020-05-04 05:43:57.63722;1;TRUE;-257.125.712.571.257;FALSE;;FALSE;;"{""response_id"": 25, ""propagate_failure"": false}";criticsm_trial;23;3;"{""vector"": [426.37871122746014, -418.541854185419, 84.60240204370336, -156.86392928482343, -8.08665363585476], ""active_index"": 2, ""reverse_scale"": false}"
12;2020-05-04 05:44:13.345858;1;TRUE;-57.983.798.379.838;FALSE;;FALSE;;"{""response_id"": 26, ""propagate_failure"": false}";criticsm_trial;24;4;"{""vector"": [-427.10910223248163, -30.32071889917711, -77.08798728925524, -103.58030259325585, -458.865886588659], ""active_index"": 0, ""reverse_scale"": false}"
13;2020-05-04 05:44:25.382625;1;TRUE;-307.530.753.075.308;FALSE;;FALSE;;"{""response_id"": 27, ""propagate_failure"": false}";criticsm_trial;25;5;"{""vector"": [146.28026330356852, -509.270927092709, -191.94141806504263, -486.3735161618801, -455.98138131337384], ""active_index"": 2, ""reverse_scale"": false}"
14;2020-05-04 05:44:39.821652;1;TRUE;-56.975.697.569.757;FALSE;;FALSE;;"{""response_id"": 28, ""propagate_failure"": false}";criticsm_trial;26;3;"{""vector"": [426.37871122746014, -418.541854185419, -257.125712571257, 175.83445158180257, -8.08665363585476], ""active_index"": 3, ""reverse_scale"": false}"
15;2020-05-04 05:44:53.420983;1;TRUE;-54.959.495.949.595;FALSE;;FALSE;;"{""response_id"": 29, ""propagate_failure"": false}";criticsm_trial;27;4;"{""vector"": [-579.83798379838, 295.7255123615712, -77.08798728925524, -103.58030259325585, -458.865886588659], ""active_index"": 1, ""reverse_scale"": false}"
16;2020-05-04 05:45:02.934068;1;TRUE;-53.951.395.139.514;FALSE;;FALSE;;"{""response_id"": 30, ""propagate_failure"": false}";criticsm_trial;28;5;"{""vector"": [146.28026330356852, -509.270927092709, -307.530753075308, -220.98508578520716, -455.98138131337384], ""active_index"": 3, ""reverse_scale"": false}"
17;2020-05-04 05:45:13.447474;1;TRUE;-529.432.943.294.329;FALSE;;FALSE;;"{""response_id"": 31, ""propagate_failure"": false}";criticsm_trial;29;3;"{""vector"": [426.37871122746014, -418.541854185419, -257.125712571257, -569.75697569757, -202.54612367017876], ""active_index"": 4, ""reverse_scale"": false}"
18;2020-05-04 05:45:32.287102;1;TRUE;-509.270.927.092.709;FALSE;;FALSE;;"{""response_id"": 32, ""propagate_failure"": false}";criticsm_trial;30;4;"{""vector"": [-579.83798379838, -549.59495949595, -387.97914428852795, -103.58030259325585, -458.865886588659], ""active_index"": 2, ""reverse_scale"": false}"
19;2020-05-04 05:45:44.151012;1;TRUE;-458.865.886.588.659;FALSE;;FALSE;;"{""response_id"": 33, ""propagate_failure"": false}";criticsm_trial;31;5;"{""vector"": [146.28026330356852, -509.270927092709, -307.530753075308, -539.51395139514, -38.58945170168511], ""active_index"": 4, ""reverse_scale"": false}"
20;2020-05-04 05:45:54.890227;1;TRUE;-54.959.495.949.595;FALSE;;FALSE;;"{""response_id"": 34, ""propagate_failure"": false}";criticsm_trial;32;3;"{""vector"": [-117.06987497585851, -418.541854185419, -257.125712571257, -569.75697569757, -529.432943294329], ""active_index"": 0, ""reverse_scale"": false}"
21;2020-05-04 05:46:07.124233;1;TRUE;186.558.655.865.587;FALSE;;FALSE;;"{""response_id"": 35, ""propagate_failure"": false}";criticsm_trial;33;4;"{""vector"": [-579.83798379838, -549.59495949595, -509.270927092709, -300.7008191264515, -458.865886588659], ""active_index"": 3, ""reverse_scale"": false}"
22;2020-05-04 05:46:18.467529;1;TRUE;438.703.870.387.039;FALSE;;FALSE;;"{""response_id"": 36, ""propagate_failure"": false}";criticsm_trial;34;5;"{""vector"": [237.663737653648, -509.270927092709, -307.530753075308, -539.51395139514, -458.865886588659], ""active_index"": 0, ""reverse_scale"": false}"
23;2020-05-04 05:46:38.902139;1;TRUE;-499.189.918.991.899;FALSE;;FALSE;;"{""response_id"": 37, ""propagate_failure"": false}";criticsm_trial;35;3;"{""vector"": [-549.59495949595, -584.3081609040547, -257.125712571257, -569.75697569757, -529.432943294329], ""active_index"": 1, ""reverse_scale"": false}"
24;2020-05-04 05:46:52.221073;1;TRUE;-247.044.704.470.447;FALSE;;FALSE;;"{""response_id"": 38, ""propagate_failure"": false}";criticsm_trial;36;4;"{""vector"": [-579.83798379838, -549.59495949595, -509.270927092709, 186.558655865587, -273.2176397255524], ""active_index"": 4, ""reverse_scale"": false}"
25;2020-05-04 05:47:01.323942;1;TRUE;-958.295.829.582.958;FALSE;;FALSE;;"{""response_id"": 39, ""propagate_failure"": false}";criticsm_trial;37;5;"{""vector"": [438.703870387039, 23.443854519925708, -307.530753075308, -539.51395139514, -458.865886588659], ""active_index"": 1, ""reverse_scale"": false}"
26;2020-05-04 05:47:13.694466;1;TRUE;196.639.663.966.397;FALSE;;FALSE;;"{""response_id"": 40, ""propagate_failure"": false}";criticsm_trial;38;3;"{""vector"": [-549.59495949595, -499.189918991899, -342.601556209592, -569.75697569757, -529.432943294329], ""active_index"": 2, ""reverse_scale"": false}"
27;2020-05-04 05:47:24.618471;1;TRUE;-56.975.697.569.757;FALSE;;FALSE;;"{""response_id"": 41, ""propagate_failure"": false}";criticsm_trial;39;4;"{""vector"": [-349.49162163897984, -549.59495949595, -509.270927092709, 186.558655865587, -247.044704470447], ""active_index"": 0, ""reverse_scale"": false}"
28;2020-05-04 05:47:36.669317;1;TRUE;-56.975.697.569.757;FALSE;;FALSE;;"{""response_id"": 42, ""propagate_failure"": false}";criticsm_trial;40;5;"{""vector"": [438.703870387039, -95.8295829582958, -374.7836040599042, -539.51395139514, -458.865886588659], ""active_index"": 2, ""reverse_scale"": false}"
29;2020-05-04 05:47:46.363684;1;TRUE;-56.975.697.569.757;FALSE;;FALSE;;"{""response_id"": 43, ""propagate_failure"": false}";criticsm_trial;42;4;"{""vector"": [-569.75697569757, 218.15305279346967, -509.270927092709, 186.558655865587, -247.044704470447], ""active_index"": 1, ""reverse_scale"": false}"
30;2020-05-04 05:47:57.548397;1;TRUE;-55.967.596.759.676;FALSE;;FALSE;;"{""response_id"": 44, ""propagate_failure"": false}";criticsm_trial;43;5;"{""vector"": [438.703870387039, -95.8295829582958, -569.75697569757, 534.9259906370123, -458.865886588659], ""active_index"": 3, ""reverse_scale"": false}"
31;2020-05-04 05:48:07.269075;1;TRUE;-56.975.697.569.757;FALSE;;FALSE;;"{""response_id"": 45, ""propagate_failure"": false}";criticsm_trial;41;3;"{""vector"": [-549.59495949595, -499.189918991899, 196.639663966397, -227.86370023616888, -529.432943294329], ""active_index"": 3, ""reverse_scale"": false}"
32;2020-05-04 05:48:19.113036;1;TRUE;-519.351.935.193.519;FALSE;;FALSE;;"{""response_id"": 46, ""propagate_failure"": false}";criticsm_trial;44;4;"{""vector"": [-569.75697569757, -569.75697569757, -422.5358100021927, 186.558655865587, -247.044704470447], ""active_index"": 2, ""reverse_scale"": false}"
33;2020-05-04 05:48:28.279254;1;TRUE;-58.991.899.189.919;FALSE;;FALSE;;"{""response_id"": 47, ""propagate_failure"": false}";criticsm_trial;45;5;"{""vector"": [438.703870387039, -95.8295829582958, -569.75697569757, -559.67596759676, -271.9284917094306], ""active_index"": 4, ""reverse_scale"": false}"
34;2020-05-04 05:48:52.061393;1;TRUE;555.055.505.550.555;FALSE;;FALSE;;"{""response_id"": 48, ""propagate_failure"": false}";criticsm_trial;46;3;"{""vector"": [-549.59495949595, -499.189918991899, 196.639663966397, -569.75697569757, 154.7992336140104], ""active_index"": 4, ""reverse_scale"": false}"
35;2020-05-04 05:49:04.422804;1;TRUE;347.854.785.478.548;FALSE;;FALSE;;"{""response_id"": 49, ""propagate_failure"": false}";criticsm_trial;47;4;"{""vector"": [-569.75697569757, -569.75697569757, -519.351935193519, 127.7108520644922, -247.044704470447], ""active_index"": 3, ""reverse_scale"": false}"
36;2020-05-04 05:49:15.820715;1;TRUE;-58.991.899.189.919;FALSE;;FALSE;;"{""response_id"": 50, ""propagate_failure"": false}";criticsm_trial;48;5;"{""vector"": [301.34022509429826, -95.8295829582958, -569.75697569757, -559.67596759676, -589.91899189919], ""active_index"": 0, ""reverse_scale"": false}"
37;2020-05-04 05:49:25.659504;1;TRUE;-57.983.798.379.838;FALSE;;FALSE;;"{""response_id"": 51, ""propagate_failure"": false}";criticsm_trial;49;3;"{""vector"": [389.72157832504877, -499.189918991899, 196.639663966397, -569.75697569757, 55.5055505550555], ""active_index"": 0, ""reverse_scale"": false}"
38;2020-05-04 05:50:11.668904;1;TRUE;539.513.951.395.139;FALSE;;FALSE;;"{""response_id"": 58, ""propagate_failure"": false}";suggestion_trial;54;6;"{""vector"": [104.29820268495803, 53.13684522984158, 383.4631531174374, 569.0847610835751, 10.873186856019856], ""active_index"": 3, ""reverse_scale"": false}"
39;2020-05-04 05:50:20.075289;1;TRUE;105.910.591.059.106;FALSE;;FALSE;;"{""response_id"": 59, ""propagate_failure"": false}";suggestion_trial;56;7;"{""vector"": [184.33804650514696, -224.9236170742853, -200.79723340462039, 136.7053452619981, -142.50381358621416], ""active_index"": 0, ""reverse_scale"": false}"
40;2020-05-04 05:50:30.320462;1;TRUE;-499.189.918.991.899;FALSE;;FALSE;;"{""response_id"": 60, ""propagate_failure"": false}";suggestion_trial;58;8;"{""vector"": [193.54065366250848, 218.82114108118458, 316.31759111414806, -536.2182173797869, -128.5912866405244], ""active_index"": 3, ""reverse_scale"": false}"
41;2020-05-04 05:50:39.745581;1;TRUE;166.396.639.663.966;FALSE;;FALSE;;"{""response_id"": 61, ""propagate_failure"": false}";suggestion_trial;59;6;"{""vector"": [104.29820268495803, 53.13684522984158, 383.4631531174374, 539.513951395139, 39.71860523343389], ""active_index"": 4, ""reverse_scale"": false}"
42;2020-05-04 05:50:48.222098;1;TRUE;151.815.181.518.152;FALSE;;FALSE;;"{""response_id"": 62, ""propagate_failure"": false}";suggestion_trial;61;8;"{""vector"": [193.54065366250848, 218.82114108118458, 316.31759111414806, -499.189918991899, -378.5174487379553], ""active_index"": 4, ""reverse_scale"": false}"
43;2020-05-04 05:51:05.779534;1;TRUE;555.055.505.550.555;FALSE;;FALSE;;"{""response_id"": 63, ""propagate_failure"": false}";suggestion_trial;62;6;"{""vector"": [116.49122898691508, 53.13684522984158, 383.4631531174374, 539.513951395139, 166.396639663966], ""active_index"": 0, ""reverse_scale"": false}"
44;2020-05-04 05:51:14.627689;1;TRUE;-156.315.631.563.156;FALSE;;FALSE;;"{""response_id"": 64, ""propagate_failure"": false}";suggestion_trial;63;8;"{""vector"": [182.73599926432803, 218.82114108118458, 316.31759111414806, -499.189918991899, 15.1815181518152], ""active_index"": 0, ""reverse_scale"": false}"
45;2020-05-04 05:51:27.838969;1;TRUE;756.675.667.566.757;FALSE;;FALSE;;"{""response_id"": 65, ""propagate_failure"": false}";suggestion_trial;64;6;"{""vector"": [55.5055505550555, -599.6330946626086, 383.4631531174374, 539.513951395139, 166.396639663966], ""active_index"": 1, ""reverse_scale"": false}"
